system,code,display,priority,evidence
http://hl7.org/fhir/sid/icd-10-cm,A18.50,"Tuberculosis of eye, unspecified",medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A18.51,Tuberculous episcleritis,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A18.52,Tuberculous keratitis,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A18.53,Tuberculous chorioretinitis,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A18.54,Tuberculous iridocyclitis,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A18.59,Other tuberculosis of eye,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A18.6,Tuberculosis of (inner) (middle) ear,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A18.7,Tuberculosis of adrenal glands,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A18.8,Tuberculosis of other specified organs,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A18.81,Tuberculosis of thyroid gland,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A18.82,Tuberculosis of other endocrine glands,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A18.83,"Tuberculosis of digestive tract organs, not elsewhere classified",medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A18.84,Tuberculosis of heart,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A18.85,Tuberculosis of spleen,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A18.89,Tuberculosis of other sites,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A19,Miliary tuberculosis,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A19.0,Acute miliary tuberculosis of a single specified site,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A19.1,Acute miliary tuberculosis of multiple sites,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A19.2,"Acute miliary tuberculosis, unspecified",medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A19.8,Other miliary tuberculosis,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A19.9,"Miliary tuberculosis, unspecified",medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A20,Plague,medium,confirmed
http://hl7.org/fhir/sid/icd-10-cm,A20.0,Bubonic plague,medium,confirmed
