system,code,display,priority,evidence
http://www.nlm.nih.gov/research/umls/rxnorm,"1175386","Gammagard Injectable Product","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"1117548","Gammaked","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"1809437","Gammaked 10 % Injection","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"1175388","Gammaked Injectable Product","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"991216","Gammaplex","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"1876673","Gammaplex 10 % in 100 ML Injection","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"1876674","Gammaplex 10 % in 200 ML Injection","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"1876671","Gammaplex 10 % in 50 ML Injection","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"1876672","Gammaplex 100 MG/ML Injection","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"1809509","Gammaplex 5 % Injection","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"1809511","Gammaplex 5 % in 100 ML Injection","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"1809513","Gammaplex 5 % in 200 ML Injection","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"1809514","Gammaplex 5 % in 400 ML Injection","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"1809508","Gammaplex 5 % per 50 ML Injection","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"1175389","Gammaplex Injectable Product","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"471329","Gamunex","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"1175395","Gamunex Injectable Product","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"1809579","Gamunex-C 10 % Injection","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"1549694","HYQVIA 10 GM / 100 ML Kit","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"1549690","HYQVIA 2.5 GM / 25 ML Kit","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"1549696","HYQVIA 20 GM / 200 ML Kit","target","confirmed"
http://www.nlm.nih.gov/research/umls/rxnorm,"1549688","HYQVIA 30 GM / 300 ML Kit","target","confirmed"
