system,code,display,priority,evidence
http://loinc.org,77024-8,Human metapneumovirus RNA [Presence] in Nasopharynx by NAA with probe detection,high,confirmed
http://loinc.org,89651-4,Human metapneumovirus RNA [Presence] in Lower respiratory specimen by NAA with probe detection,high,confirmed
http://loinc.org,105731-4,Human metapneumovirus RNA [Presence] in Bronchoalveolar lavage by NAA with probe detection,high,confirmed
http://loinc.org,29908-1,Parainfluenza virus 1 RNA [Presence] in Specimen by NAA with probe detection,high,confirmed
http://loinc.org,29909-9,Parainfluenza virus 2 RNA [Presence] in Specimen by NAA with probe detection,high,confirmed
http://loinc.org,29910-7,Parainfluenza virus 3 RNA [Presence] in Specimen by NAA with probe detection,high,confirmed
http://loinc.org,92137-9,Parainfluenza virus 4 RNA [Presence] in Respiratory system specimen by NAA with probe detection,high,confirmed
http://loinc.org,76087-6,Parainfluenza virus 4 RNA [Presence] in Nasopharynx by NAA with probe detection,high,confirmed
http://loinc.org,94486-8,Parainfluenza virus 4 RNA [Presence] in Lower respiratory specimen by NAA with non-probe detection,high,confirmed
http://loinc.org,101288-9,Human coronavirus 229E+HKU1+NL63+OC43 RNA [Presence] in Throat by NAA with non-probe detection,medium,confirmed
http://loinc.org,92146-0,Human coronavirus 229E+NL63 RNA [Presence] in Respiratory system specimen by NAA with probe detection,medium,confirmed
http://loinc.org,92147-8,Human coronavirus HKU1+OC43 RNA [Presence] in Respiratory system specimen by NAA with probe detection,medium,confirmed
http://loinc.org,77008-1,Human coronavirus 229E+OC43 RNA [Presence] in Nasopharynx by NAA with probe detection,medium,confirmed
http://loinc.org,105079-8,Human coronavirus 229E RNA [Presence] in Specimen,medium,confirmed
http://loinc.org,105078-0,Human coronavirus OC43 RNA [Presence] in Specimen,medium,confirmed
http://loinc.org,7993-9,Rhinovirus RNA [Presence] in Specimen by NAA with probe detection,medium,confirmed
http://loinc.org,92130-4,Rhinovirus RNA [Presence] in Respiratory system specimen by NAA with probe detection,medium,confirmed
http://loinc.org,77025-5,Rhinovirus RNA [Presence] in Nasopharynx by NAA with probe detection,medium,confirmed
http://loinc.org,92885-3,Rhinovirus+Enterovirus RNA [Presence] in Lower respiratory specimen by NAA with probe detection,medium,confirmed
http://loinc.org,97954-2,Rhinovirus+Enterovirus A+B+C RNA [Presence] in Respiratory system specimen by NAA with probe detection,medium,confirmed
http://loinc.org,29591-5,Enterovirus RNA [Presence] in Specimen by NAA with probe detection,medium,confirmed
http://loinc.org,92132-0,Enterovirus A+B+C RNA [Presence] in Respiratory system specimen by NAA with probe detection,medium,confirmed
http://loinc.org,76074-4,Enterovirus RNA [Presence] in Nasopharynx by NAA with probe detection,medium,confirmed
http://loinc.org,97151-5,Enterovirus RNA [Presence] in Serum or Plasma by NAA with non-probe detection,medium,confirmed
http://loinc.org,70065-8,Enterovirus Ag [Presence] in Stool by Immunoassay,medium,confirmed
http://loinc.org,86323-3,Enterovirus Ag [Presence] in Specimen by Immunofluorescence,medium,confirmed
http://loinc.org,86586-5,Parechovirus A RNA [Presence] in Cerebral spinal fluid by NAA with probe detection,medium,confirmed
http://loinc.org,92691-5,Astrovirus RNA [Presence] in Stool by NAA with probe detection,medium,confirmed
http://loinc.org,69938-9,Astrovirus RNA [Presence] in Specimen by NAA with probe detection,medium,confirmed
http://loinc.org,7811-3,Astrovirus RNA [Presence] in Serum by NAA with probe detection,medium,confirmed
http://loinc.org,82210-6,Astrovirus subtypes 1-8 RNA [Presence] in Stool by NAA with non-probe detection,medium,confirmed
http://loinc.org,92692-3,Norovirus genogroup I+II RNA [Presence] in Stool by NAA with probe detection,medium,confirmed
http://loinc.org,88701-8,Norovirus genogroups I and II RNA panel - Stool by NAA with probe detection,medium,
http://loinc.org,54905-5,Norovirus genogroup I RNA [Presence] in Stool by NAA with probe detection,medium,confirmed
http://loinc.org,79388-5,Norovirus genogroup I+II orf1-orf2 junction region [Presence] in Stool by NAA with probe detection,medium,confirmed
http://loinc.org,82211-4,Norovirus genogroup I+II RNA [Presence] in Stool by NAA with non-probe detection,medium,confirmed
http://loinc.org,92693-1,Rotavirus A RNA [Presence] in Stool by NAA with probe detection,medium,confirmed
http://loinc.org,79389-3,Rotavirus A nsp5 gene [Presence] in Stool by NAA with probe detection,medium,confirmed
http://loinc.org,80675-2,Rotavirus A VP6 gene [Presence] in Stool by NAA with probe detection,medium,confirmed
http://loinc.org,62859-4,Rotavirus RNA [Presence] in Specimen by NAA with probe detection,medium,confirmed
http://loinc.org,86690-5,Rotavirus C RNA [Presence] in Specimen by NAA with probe detection,medium,confirmed
http://loinc.org,82212-2,Rotavirus A RNA [Presence] in Stool by NAA with non-probe detection,medium,confirmed
http://loinc.org,92694-9,Sapovirus genogroups I+II+IV+V RNA [Presence] in Stool by NAA with probe detection,medium,confirmed
http://loinc.org,101562-7,Sapovirus genogroups I+II+IV RNA [Presence] in Stool by NAA with probe detection,medium,confirmed
http://loinc.org,101563-5,Sapovirus genogroup V RNA [Presence] in Stool by NAA with probe detection,medium,confirmed
http://loinc.org,82213-0,Sapovirus genogroups I+II+IV+V RNA [Presence] in Stool by NAA with non-probe detection,medium,confirmed
http://loinc.org,22314-9,Hepatitis A virus IgM Ab [Presence] in Serum,medium,confirmed
http://loinc.org,94539-4,Hepatitis A virus IgM and IgG panel - Serum,medium,
http://loinc.org,7906-1,Hepatitis D virus RNA [Presence] in Serum or Plasma by NAA with probe detection,medium,confirmed
http://loinc.org,80426-0,Hepatitis D virus RNA [#/volume] (viral load) in Serum or Plasma by NAA with probe detection,medium,confirmed
http://loinc.org,85512-2,Hepatitis D virus RNA [Units/volume] (viral load) in Serum or Plasma by NAA with probe detection,medium,confirmed
http://loinc.org,95144-2,Hepatitis D virus RNA panel - Serum or Plasma,medium,
http://loinc.org,90460-7,Hepatitis E virus RNA [Presence] in Serum or Plasma by NAA with probe detection,medium,confirmed
http://loinc.org,69961-1,Hepatitis E virus RNA [Units/volume] (viral load) in Serum or Plasma by NAA with probe detection,medium,confirmed
http://loinc.org,78750-7,Hepatitis E virus RNA [log units/volume] (viral load) in Serum or Plasma by NAA with probe detection,medium,confirmed
http://loinc.org,91071-1,Hepatitis E virus RNA [Presence] in Stool by NAA with probe detection,medium,confirmed
http://loinc.org,95156-6,Hepatitis E virus RNA [Presence] in Specimen by NAA with probe detection,medium,confirmed
http://loinc.org,95207-7,Hepatitis E virus RNA panel - Serum or Plasma,medium,
http://loinc.org,20447-9,HIV 1 RNA [#/volume] (viral load) in Serum or Plasma by NAA with probe detection,high,confirmed
http://loinc.org,29541-0,HIV 1 RNA [Log #/volume] (viral load) in Serum or Plasma by NAA with probe detection,high,confirmed
http://loinc.org,48511-0,HIV 1 RNA [#/volume] (viral load) in Serum or Plasma by Probe and target amplification method detection limit = 50 copies/mL,high,confirmed
http://loinc.org,48510-2,HIV 1 RNA [Log #/volume] (viral load) in Serum or Plasma by Probe and target amplification method detection limit = 1.7 log copies/mL,high,confirmed
http://loinc.org,5018-7,HIV 1 RNA [Presence] in Specimen by NAA with probe detection,high,confirmed
http://loinc.org,69353-1,HIV 2 RNA [Presence] in Serum or Plasma by NAA with probe detection,high,confirmed
http://loinc.org,96557-4,HIV 1 and 2 RNA panel - Serum or Plasma by NAA with probe detection,high,
http://loinc.org,79380-2,HIV 1 RNA+proviral DNA [Presence] in Blood by NAA with probe detection,high,confirmed
http://loinc.org,79379-4,HIV 1 RNA+proviral DNA [Presence] in Plasma by NAA with probe detection,high,confirmed
http://loinc.org,105080-6,HIV 1+2 Ab+HIV1 p24 Ag [Presence] in Serum or Plasma,medium,confirmed
http://loinc.org,80387-4,"HIV 1+2 Ab [Presence] in Serum, Plasma or Blood by Rapid immunoassay",medium,confirmed
http://loinc.org,31201-7,HIV 1+2 Ab [Presence] in Serum or Plasma by Immunoassay,medium,confirmed
http://loinc.org,77742-5,HTLV I and II Ab Panel,low,
http://loinc.org,77747-4,HTLV II gp46-II Ab [Presence] in Serum or Plasma by Immunoblot,low,confirmed
http://loinc.org,48508-6,Measles virus RNA [Presence] in Specimen by NAA with probe detection,medium,confirmed
http://loinc.org,35276-5,Measles virus IgM Ab [Presence] in Serum by Immunoassay,medium,confirmed
http://loinc.org,25421-9,Measles virus IgM Ab [Units/volume] in Serum by Immunoassay,medium,confirmed
http://loinc.org,22418-8,Mumps virus IgM Ab [Presence] in Serum,medium,confirmed
http://loinc.org,6478-2,Mumps virus IgM Ab [Presence] in Serum by Immunoassay,medium,confirmed
http://loinc.org,25419-3,Mumps virus IgM Ab [Units/volume] in Serum by Immunoassay,medium,confirmed
http://loinc.org,47532-7,Mumps virus RNA [Presence] in Specimen by NAA with probe detection,medium,confirmed
http://loinc.org,53603-7,Mumps virus RNA [Presence] in Serum by NAA with probe detection,medium,confirmed
http://loinc.org,8015-0,Rubella virus IgM Ab [Units/volume] in Serum,medium,confirmed
http://loinc.org,85622-9,Zika virus RNA [Presence] in Serum or Plasma by NAA with probe detection,low,confirmed
http://loinc.org,85623-7,Zika virus RNA [Presence] in Urine by NAA with probe detection,low,confirmed
http://loinc.org,80824-6,Zika virus IgM Ab [Presence] in Serum or Plasma by Immunoassay,low,confirmed
http://loinc.org,49896-4,Human papilloma virus 16+18+31+33+35+39+45+51+52+56+58+59+68 DNA [Presence] in Specimen by NAA with probe detection,low,confirmed
