system,code,display
http://loinc.org,87554-2,Epstein Barr virus Ab panel - Serum
http://loinc.org,93711-0,Epstein Barr virus Ab panel - Serum from Donor
http://loinc.org,93712-8,Epstein Barr virus nuclear Ab [Presence] in Serum from Donor by Immunoassay
http://loinc.org,93713-6,Epstein Barr virus capsid IgG Ab [Presence] in Serum from Donor by Immunoassay
http://loinc.org,93714-4,Epstein Barr virus capsid IgM Ab [Presence] in Serum from Donor by Immunoassay
http://loinc.org,93840-7,Epstein Barr virus DNA [Units/volume] (viral load) in Blood by NAA with probe detection
http://loinc.org,93841-5,Epstein Barr virus DNA [log units/volume] (viral load) in Blood by NAA with probe detection
http://loinc.org,94102-1,Epstein Barr virus early diffuse IgA Ab [Units/volume] in Serum or Plasma by Immunoassay
http://loinc.org,94149-2,"Heterophile Ab [Presence] in Serum, Plasma or Blood by Rapid immunoassay"
http://loinc.org,97993-0,Epstein Barr virus early IgM Ab [Titer] in Serum by Immunofluorescence
http://loinc.org,100677-4,Epstein Barr virus DNA [Log #/volume] (viral load) in Serum or Plasma by NAA with probe detection
http://loinc.org,100678-2,Epstein Barr virus DNA [Log #/volume] (viral load) in Blood by NAA with probe detection
http://loinc.org,101817-5,Epstein Barr virus DNA [Units/volume] (viral load) in Cerebral spinal fluid by NAA with probe detection
http://loinc.org,104743-0,Epstein Barr virus DNA [#/volume] in Specimen by Molecular genetics method
http://loinc.org,104811-5,Epstein Barr virus DNA [Log #/volume] in Specimen by Molecular genetics method
http://loinc.org,105741-3,Epstein Barr virus DNA [Presence] in Pericardial fluid by NAA with probe detection
http://loinc.org,105742-1,Epstein Barr virus DNA [#/volume] (viral load) in Pericardial fluid by NAA with probe detection
http://loinc.org,107925-0,Epstein Barr virus DNA [Presence] in Serum or Plasma by NAA with probe detection
http://loinc.org,108211-4,Epstein Barr virus DNA [Presence] in Urine by NAA with probe detection
http://loinc.org,108212-2,Epstein Barr virus DNA [Log #/volume] (viral load) in Urine by NAA with probe detection
http://loinc.org,108213-0,Epstein Barr virus DNA [log units/volume] (viral load) in Serum or Plasma by NAA with probe detection
http://loinc.org,108214-8,Epstein Barr virus DNA [Log #/volume] (viral load) in Cerebral spinal fluid by NAA with probe detection
http://loinc.org,108215-5,Epstein Barr virus DNA [log units/volume] (viral load) in Cerebral spinal fluid by NAA with probe detection
http://loinc.org,108216-3,Epstein Barr virus DNA [log units/volume] (viral load) in Specimen by NAA with probe detection
http://loinc.org,108217-1,Epstein Barr virus DNA [Units/volume] (viral load) in Specimen by NAA with probe detection
http://loinc.org,108595-0,Epstein Barr virus DNA [Measurement] in Tissue
http://loinc.org,109376-4,Epstein Barr virus early restricted Ab [Measurement] in Serum
http://loinc.org,109377-2,Epstein Barr virus capsid IgA Ab [Measurement] in Serum
http://loinc.org,109469-7,Epstein Barr virus early IgG Ab [Measurement] in Cerebral spinal fluid
http://loinc.org,109470-5,Epstein Barr virus DNA [Measurement] in Cerebral spinal fluid
http://loinc.org,109901-9,Epstein Barr virus nuclear IgG Ab [Measurement] in Cerebral spinal fluid
http://loinc.org,109902-7,Epstein Barr virus capsid IgM Ab [Measurement] in Cerebral spinal fluid
http://loinc.org,109938-1,Epstein Barr virus Ab [Measurement] in Serum
http://loinc.org,109941-5,Epstein Barr virus nuclear IgM Ab [Measurement] in Serum
http://loinc.org,110278-9,Epstein Barr virus DNA [Measurement] in Serum or Plasma
http://loinc.org,110854-7,Epstein Barr virus nuclear Ab [Measurement] in Serum
http://loinc.org,110873-7,Epstein Barr virus capsid IgG Ab [Measurement] in Cerebral spinal fluid
http://loinc.org,110884-4,Epstein Barr virus DNA [Measurement] in Blood
http://loinc.org,110954-5,Epstein Barr virus early IgG Ab [Measurement] in Serum
http://loinc.org,111340-6,Epstein Barr virus early Ab [Measurement] in Serum
http://loinc.org,111341-4,Epstein Barr virus capsid IgM Ab [Measurement] in Serum
http://loinc.org,111342-2,Epstein Barr virus capsid IgG Ab [Measurement] in Serum
http://loinc.org,111357-0,Epstein Barr virus nuclear IgG Ab [Measurement] in Serum
