system,code,display,priority
http://www.nlm.nih.gov/research/umls/rxnorm,206955,predniSONE 5 MG Oral Tablet [Orasone],high
http://www.nlm.nih.gov/research/umls/rxnorm,206956,predniSONE 5 MG Oral Tablet [Prednicen-M],high
http://www.nlm.nih.gov/research/umls/rxnorm,763181,predniSONE 5 MG Tablet 21 Count Pack,high
http://www.nlm.nih.gov/research/umls/rxnorm,564054,predniSONE 5 MG [Decortisyl],high
http://www.nlm.nih.gov/research/umls/rxnorm,567755,predniSONE 5 MG [Deltasone],high
http://www.nlm.nih.gov/research/umls/rxnorm,565679,predniSONE 5 MG [Econosone],high
http://www.nlm.nih.gov/research/umls/rxnorm,567756,predniSONE 5 MG [Orasone],high
http://www.nlm.nih.gov/research/umls/rxnorm,567757,predniSONE 5 MG [Prednicen-M],high
http://www.nlm.nih.gov/research/umls/rxnorm,575330,predniSONE 5 MG [Prednicot],high
http://www.nlm.nih.gov/research/umls/rxnorm,1303136,predniSONE 5 MG [Rayos],high
http://www.nlm.nih.gov/research/umls/rxnorm,567758,predniSONE 5 MG [Sterapred],high
http://www.nlm.nih.gov/research/umls/rxnorm,316585,predniSONE 5 MG/ML,high
http://www.nlm.nih.gov/research/umls/rxnorm,205301,predniSONE 5 MG/ML Oral Solution,high
http://www.nlm.nih.gov/research/umls/rxnorm,582601,predniSONE 5 MG/ML [predniSONE Intensol],high
http://www.nlm.nih.gov/research/umls/rxnorm,316586,predniSONE 50 MG,high
http://www.nlm.nih.gov/research/umls/rxnorm,198148,predniSONE 50 MG Oral Tablet,high
http://www.nlm.nih.gov/research/umls/rxnorm,207049,predniSONE 50 MG Oral Tablet [Orasone],high
http://www.nlm.nih.gov/research/umls/rxnorm,567841,predniSONE 50 MG [Deltasone],high
http://www.nlm.nih.gov/research/umls/rxnorm,567842,predniSONE 50 MG [Orasone],high
http://www.nlm.nih.gov/research/umls/rxnorm,451147,predniSONE 8 MG,high
http://www.nlm.nih.gov/research/umls/rxnorm,429331,predniSONE 8 MG Oral Tablet,high
http://www.nlm.nih.gov/research/umls/rxnorm,1303124,predniSONE Delayed Release Oral Tablet,high
http://www.nlm.nih.gov/research/umls/rxnorm,1303128,predniSONE Delayed Release Oral Tablet [Rayos],high
http://www.nlm.nih.gov/research/umls/rxnorm,746379,predniSONE Oral Capsule,high
http://www.nlm.nih.gov/research/umls/rxnorm,1161704,predniSONE Oral Liquid Product,high
http://www.nlm.nih.gov/research/umls/rxnorm,1161705,predniSONE Oral Product,high
http://www.nlm.nih.gov/research/umls/rxnorm,373583,predniSONE Oral Solution,high
